period,deposit_facility_rate_percent,obs_status,obs_conf,obs_pre_break,source_record_sha256
2014-06-03,0,A,F,,dd277d5b202ea8c0624cc5dd5ebe61a2bfefaf1009a0d15a640b8ef12319360f
2014-06-04,0,A,F,,5a1da81fcd2edca33170642606d80f5e418bf007b78ec15a0e3f1afb1007d993
2014-06-05,0,A,F,,e054bce5e398c569b0de4221101d2001dd4e3a73643b8cf036dbb3d030694e32
2014-06-06,0,A,F,,e53bcc3ca6967a6f1a9e33a0ec5df7c3e13ecbe12e96ba7727ad8cf261761338
2014-06-07,0,A,F,,b967de86d3fe53a3830c04439d8979daf5865a8617ef772a5ae541db105c516a
2014-06-08,0,A,F,,9a6b462ff68818d8494e4141ba9ce1f99b0a241c1db527b9e343a0949aca2821
2014-06-09,0,A,F,,c531477b42e5d1380aea92b056aae97680cd2f57455e0a9ed2340179dceb597a
2014-06-10,0,A,F,,b709b3f55b8701bb8723cf43293439644197ebabb577068098282ee4cd550c90
2014-06-11,-0.1,A,F,,51bacd833546abf7f40959f3a9f7e4822556edbec886d04d07c98b4d151ca48c
2014-06-12,-0.1,A,F,,2f38ea19de44aaba4745a102c79ba2eeaa20e1129b16e3bbb3a7d3d4aad7f2cd
2014-06-13,-0.1,A,F,,45ab224ce623e3b0ed20a78b3d88e2cfa8307ecb630d731455d533b1ab01de33
2014-06-14,-0.1,A,F,,ae5f6866ec5a2ea4ca957237020c21a80396ddc59cc078dae9d27eb5d26ee3b0
2014-06-15,-0.1,A,F,,fceec336a10cddccca596a0223249cca5bfe8ea7c3d06820c4118ea8f14393f5
2014-06-16,-0.1,A,F,,43c9c2059b36745c19e1c06ee5d77e67ae96f27cae008abb392a9150afad2770
2014-06-17,-0.1,A,F,,130cf70aa7e3caa45c16dc42c021704f174ef282925cc87e6a259ab8bf7ceba2
2014-06-18,-0.1,A,F,,3e0484c4f404b90d3a6e7bb228c957e0b8d3ebccdfcc04dc32ed92a2ad38b00f
2014-06-19,-0.1,A,F,,fd1fcb2aa5a019bbb6702f59bba5d16c6b7933fc51960f180ce26c84b6be0101
2014-06-20,-0.1,A,F,,ab722fb4e30d6cf2f98e028f7ebaa99e0fffa9e575147078c8359353501e36cc
2014-06-21,-0.1,A,F,,345875264e07cede43ba5da1e7a1e86aa55124a1cb4568b6369872e1fa2a5e30
2014-06-22,-0.1,A,F,,4e4fbdeb69c2a645065119b6872e88de4f2d6bd91df5d299b4f21293a7d2963e
2014-06-23,-0.1,A,F,,f303eec56444651bf2433b9879a7efbb46bb32a5bec78dd5df22b9c3f00110b9
2014-06-24,-0.1,A,F,,a0b24ae714939292602097ab13039af066b18ce55758aab7682b43448dd9824a
2014-06-25,-0.1,A,F,,9583dfe4a842b0bdb12e8ee7c4a887515ce4e7827309b72376d2ad76d535616a
2014-06-26,-0.1,A,F,,8cad85d60d23cd793922fe1611bc7a0c14887f37400cc603eb812631d8b9eaa3
2014-06-27,-0.1,A,F,,148c262073d69dd6da2f2d2702238d6a173e233494e463f067976e5be8b5b0f7
2014-06-28,-0.1,A,F,,37d160ccfddcd8da3f9beb3748ba8d43b7a0f56d258baa7a4cc2e976d7e5d0ac
2014-06-29,-0.1,A,F,,8812f55b5f0aecea1d3c5c4636b23e1647567a285868359d93a8ac5916289eac
2014-06-30,-0.1,A,F,,205dd16f24dc2dd7f2bce685a0a2efa1d1b40dd64afc68d62d1e6f6945f5f044
2014-07-01,-0.1,A,F,,367369d4bfb59b11598728486f006a1fb2c2281fb44c4cbaba7da80592318bae
2014-07-02,-0.1,A,F,,6889b83342205b7c4883a11ef4355306040b040f6aec6e266977e718cbb480e3
2014-07-03,-0.1,A,F,,274ff49acd2da4fb827f5d86a18b59797c7fc54aff3451cf2329081178abe5b9
2014-07-04,-0.1,A,F,,a3f5dbe0f0479d98c32416c6f5a79cb8aae16eb037a847ef99ba7f7cb81196e0
2014-07-05,-0.1,A,F,,644a4af3d9646c23b9f1d8d82cd5c67276133269f045cb9a1551d015f91e2d18
2014-07-06,-0.1,A,F,,e9e73662b583cfe5784726cada7880e1909da0fa1f3a7a07e674db66d5faded8
2014-07-07,-0.1,A,F,,20aaeadda988fd9fc42efc2fa52f7056cd954c33913332309604603a316fada5
2014-07-08,-0.1,A,F,,b84a47525360916d87d62574a143fb807e1b7c3b63942739c23b13949c4a6028
2014-07-09,-0.1,A,F,,51421163121396fc20d06b5b74731f7500993da3334197fca4d10e69d95c84ee
2014-07-10,-0.1,A,F,,591a0f546a8bf5763471313b67b9970efd2fb69891f6f616a5f8f1e01d10645e
2014-07-11,-0.1,A,F,,122478db4dd93db604b95c15ae6b683657bbb0246cb07185df94f0c38bb9907a
2014-07-12,-0.1,A,F,,f9fc682271181adfe2e619110761e447e6e97bbf009281388de2c9bfa9395007
2014-07-13,-0.1,A,F,,cdd106f80f2da28625a205c7ea4a7641c0dfcf23f8f4ec6c3a593d2455310680
2014-07-14,-0.1,A,F,,e9921c8b3dfb40d0a7778578a3e5805bab9b6f360616426cb6b79567803ac83f
2014-07-15,-0.1,A,F,,da0f6e27c04fc7924413e2eb2970724c074113fe9760415ace1eba45201e2777
2014-07-16,-0.1,A,F,,4a748942b66d60f9af7c4b8b9005bba5e73ba30a133978016e8779cb33766271
2014-07-17,-0.1,A,F,,47e9a773ade93cc7d31e9827d326b501996f079009b7ffc7d1fe75d69f9d3d85
2014-07-18,-0.1,A,F,,7cf5998618615a7b75c4b2fdd8851d56437de6fc6b4fce513f59e295255b67d6
2014-07-19,-0.1,A,F,,24cc8ffc53e363b23a4d74cfa2a48d878b4babfc383984614b7b55c1a42d9d05
2014-07-20,-0.1,A,F,,e44c75962485d6b31e894f316311556795499fb934d43d190042bfaa52a1f7c6
2014-07-21,-0.1,A,F,,a16c059fcf3a979c829422ea4c9c4450f06aab746dbfc0ea07f166b973c38351
2014-07-22,-0.1,A,F,,8f9a49e7b0f087ab0028426fba51987a34ef1bdd08fa0174236069c1e5a84793
2014-07-23,-0.1,A,F,,0b918b6b929eb2d365ba0302a3dfd7c7201271cd1cb9c6829fdf4cf300e31bc1
2014-07-24,-0.1,A,F,,2d674b4e8fc09928075f1cfb6706fa4ed7b6f4b38ee52cddae7fb6c61305255e
2014-07-25,-0.1,A,F,,c69dab03214b8d7cfdc1c5fd70643e7800d6c424abb2ae98ea73761c35bc02a6
2014-07-26,-0.1,A,F,,3e387ba2036838cd27fe93bb391686f197d91b5eddd7390b93cdbbbb9eceb4c2
2014-07-27,-0.1,A,F,,f163f60a6df65c2fc4ec64360aa82994d0caae888ad42d621b02a2e82038849d
2014-07-28,-0.1,A,F,,12d2918a6703b0040fc3926bfb692690bc4156e47ac8f2b2a476424204f9b30c
2014-07-29,-0.1,A,F,,8829d7d26a380d50e78e8890fb542cfb9e933763b635e593b62884871387bcfa
2014-07-30,-0.1,A,F,,6efc0a3f7cc749918e1b00ac2be92cab3c31827ac862025ae62f18657cdf6565
2014-07-31,-0.1,A,F,,1a36db3a2f7d8f860464a6c968d8175bc766ac6b720d3cb899a3654930c1aa9d
2014-08-01,-0.1,A,F,,2538d4710b32893189a89e91158e9640ca689b6cce291b96e0d179957a18c2a8
2014-08-02,-0.1,A,F,,609ad97e8cc5eca4ec84cfcce69dc15466e3beb2951db227fd048c3e440f0c2a
2014-08-03,-0.1,A,F,,a59258ac2e200e03c72eff29c5c7c71ed881bf913f566c4feff925270906b283
2014-08-04,-0.1,A,F,,ffd2a18705f6e4b408a77c863a51ff9c79900ef6e90bc55a6abf1f69bb90701c
2014-08-05,-0.1,A,F,,235b443be92774e26869e1614a4627e720291963045dfc3d9dbad3007c5d0c21
2014-08-06,-0.1,A,F,,d42af42a92757f368c2c4de29409346bb50d02058056cb826bd697f3987fa3fc
2014-08-07,-0.1,A,F,,52fcc8ddb42f6e587767aaf08d7d33160a9013f570163106dc673d6aa2f818c0
2014-08-08,-0.1,A,F,,5a7480ba86da6d0aa2622e22473fd884db4fc545b23d38126168baf7a70af13f
2014-08-09,-0.1,A,F,,ba596800541dc03f420aa560767c9959734ca74227a95175f623a18bfb6a20a5
2014-08-10,-0.1,A,F,,5cfb7550609496b7b575ef8e4f8065a0a104691639f50988a52fb4010b4df813
2014-08-11,-0.1,A,F,,0b2601e4f1e87006e5b90abc4a98c6f0a64d014a67f06346134095850e395400
2014-08-12,-0.1,A,F,,ecc2ba6edb478433398194f0cc1705525c064f9688973b4665c6ee31f266db9b
2014-08-13,-0.1,A,F,,f44b7235dedbaa94565616c9af05cb74c718cdace39a940eff3fa6117e9b60ef
2014-08-14,-0.1,A,F,,e58dab2546b6e1120c00f43f39f64457378002a3a596a8806d675528af2583d4
2014-08-15,-0.1,A,F,,561f346b60f8dd55a16f8d81db9152efd9286ff58a9c14f3c5a85c2eb9833fa7
2014-08-16,-0.1,A,F,,4ad3f67503f370b80c79a700faaca4177f707e487ffc2db65444d4717f314ffd
2014-08-17,-0.1,A,F,,0ec22ff31b7d636282697b3053c65dca7ff2c268f7248c5181153c6e0a3573df
2014-08-18,-0.1,A,F,,984d070f6c99ca0c03a7eeccecb9db7dbe98db84faaa2e979808c9d4cf9655e3
2014-08-19,-0.1,A,F,,76a94d8116f198461772b71ad37b95da59cf61560953c924702f164ed0dc936f
2014-08-20,-0.1,A,F,,aea64bbd7dcaea514255e98dc7379a4c4f27c27b1cc4bf7fc312d287e8aea198
2014-08-21,-0.1,A,F,,451dae6dc63bf3dd76dd8c3ef7c3fa421273ce1bfa0e5f33ea55ce007f6ab280
2014-08-22,-0.1,A,F,,7e8c851c736ea513f8ebc75315850458eabee2aac32034e34de95833e4b708c6
2014-08-23,-0.1,A,F,,26692b511af962bd2c6ef0dce6e0f831fc3a64029a701f5d6e25a3c6c3f05374
2014-08-24,-0.1,A,F,,19b293d7e1cae3e9bdd2e3b404a6b327964d357d566aafb1f14a17a9083ccf3f
2014-08-25,-0.1,A,F,,a6ba4a1059f6de2e356dc966063d50f130a835eb4f037865a4cdf8e779265445
2014-08-26,-0.1,A,F,,fdfa9c6ca9347b44c6c1c8adbf3ecf296f90c5b4ebfce9d55bc230033ee628cf
2014-08-27,-0.1,A,F,,85382714766504a78c2e5db9c67ec5dea0efe160acdd3de753bed034c589f412
